name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Walmart Supercenter","","2203 Patsy Ln","Excelsior Springs","","MO","64024","8166301003","0","","https://www.walmart.com/","39.3293906","-94.2652251","10.6017166775701","","false","false","","","false","false","false","false"
"Walmart Tire and Lube Express","","2203 Patsy Ln","Excelsior Springs","","MO","64024","8166301003","0","","https://www.walmart.com/cp/ideas/8932632","39.3293906","-94.2652251","10.6017166775701","","false","false","","","false","false","false","false"
"City of Orrick Christmas Tree Collection Event","","34849 State Highway Z ","Orrick","","MO","64077","8167703607","0","","","39.1925125","-94.1177931","12.8828211468836","","false","false","","","false","false","false","false"
"Porters Building Center","","18806 State Route 92","Kearney","","MO","64060","8166286111","0","","https://www.ameren.com","39.3679969","-94.3251014","13.3040121452388","","false","false","","","false","false","false","false"
"City of Kearney Recycling Center","","1820 Stonelake Dr /504  E 19th (drop off)","Kearney","","MO","64060","8162214527","0","","https://www.rippleglass.com/","39.353349","-94.3545273","14.9486352593852","","false","false","","","false","false","false","false"
"Ripple Glass Drop Off - City of Kearney Recycling Center","","E. 19th St. & Stonelake Dr.","Kearney","","MO","64060","8162214527","0","","https://www.rippleglass.com/","39.353316","-94.3545299","14.9490176193629","","false","false","","","false","false","false","false"
"City of Kearney Community Recycling Center","","504 E 19th St Kearney, MO 64060","Kearney","","MO","64060","8166284142","0","","http://www.ci.kearney.mo.us/Kearney-Special-Notices.asp#recycling","39.3533151","-94.354728","14.9595465987883","","false","false","","","false","false","false","false"
"City of Kearney Christmas Tree Collection Event","","504 E 19th St ","Kearney","","MO","64060","8166284142","0","","http://www.ci.kearney.mo.us/","39.3533151","-94.354728","14.9595465987883","","false","false","","","false","false","false","false"
"Price Chopper, Kearney MO","Price Chopper, Kearney MO","701 Watson Dr","Kearney","Clay","MO","64060","8162214527","0","","http://www.rippleglass.com/","39.36394","-94.36566","15.4817699986778","Glass (Blue); Glass (Brown); Glass (Clear); Glass (Green); Glass (Other); Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","Ripple Glass bins do not require color sorting. All colors of glass can be recycled from our containers, and sheet glass as well. No light bulbs, ceramic, pyrex or safety glass.","","false","false","false","false"
"Ripple Glass Drop Off - Cosentino's Price Chopper - Kearney","","701 Watson Dr","Kearney","","MO","64060","8162214527","0","","https://www.rippleglass.com/","39.3649386","-94.3691195","15.6625879641425","","false","false","","","false","false","false","false"
"City of Kearney Recycling Center","City of Kearney Recycling Center","504 W 19th St ","Kearney","Clay County","MO","64060","0","0","","http://www.rippleglass.com/","39.3532774","-94.3726981","15.9146390487767","Glass (Blue); Glass (Brown); Glass (Clear); Glass (Green); Glass (Other); Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Tablets; Video Game Consoles; PlayStation Consoles","false","true","Ripple Glass bins do not require color sorting. All colors of glass can be recycled from our containers, and sheet glass as well. No light bulbs, ceramic, pyrex or safety glass.","","false","false","false","false"
"O'Reilly Auto Parts","null","675 West 92 Highway","Kearney","","MO","64060","8169033043","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","39.3674602","-94.3752438","15.9814923463512","","false","false","","","false","false","false","false"
"City of Buckner Christmas Tree Collection Event","","2500 O Donnell Road","Buckner","","MO","64016","8166503191","0","","http://www.ajsmidi.com/mycomm/city/citygovn.html","39.1420901","-94.1758077","17.0279917080376","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","null","120 East Monroe","Buckner","","MO","64016","8166505449","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","39.1381836","-94.1955816","17.6393507067243","","false","false","","","false","false","false","false"
