name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Randalls","","5161 San Felipe St","Houston","","TX","77056","7139643150","0","","https://shop.safeway.com/home.html","29.7493968","-95.4653305","0.254875516943855","","false","false","","","false","false","false","false"
"The Breast Cancer Research Foundation Car Donation Program","","","Houston","","TX","77056","8554502873","0","","https://cardonationfoundation.org/","29.7484861","-95.4699173","0.28921945876655","","false","false","","","false","false","false","false"
"Make-A-Wish Car Donation","","5100 Westheimer Road #200","Houston","","TX","77056","8558729474","0","","https://www.wheelsforwishes.org/texgulf/","29.7410316","-95.4647572","0.340458083497938","","false","false","","","false","false","false","false"
"Walgreens","Walgreens","5200 Westheimer Rd","Houston","Harris","TX","77056","7136230643","0","","http://www.walgreens.com","29.74048","-95.46697","0.369626825053422","Cell Phones; Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Wheels For Wishes","Wheels For Wishes","5100 Westheimer Rd Ste 200","Houston","Harris","TX","77056","8558729474","0","Monday: 7:00 AM - 10:00 PM Tuesday: 7:00 AM - 10:00 PM Wednesday: 7:00 AM - 10:00 PM Thursday: 7:00 AM - 10:00 PM Friday: 7:00 AM - 10:00 PM ","http://www.wheelsforwishes.org/","29.7407","-95.46417","0.372773673128206","Car Donation; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","true","true","Cars, trucks, SUVs, RVs, motorcycles and boats are accepted. Wheels for Wishes will pick-up or tow away all vehicles, at no charge, whether the vehicles are running or not. Services are completely free of charge.","","false","false","false","false"
"Firestone Complete Auto Care","","5300 Westheimer","Houston","","TX","77027","7136236145","0","","https://www.firestonecompleteautocare.com/","29.740295","-95.468402","0.401489782208923","","false","false","","","false","false","false","false"
"Sprint Store","","1703-A Post Oak Blvd","Houston","","TX","77056","0","0","","https://newsroom.sprint.com/csr/device-donations/","29.7493659","-95.4604532","0.425439905778202","","false","false","","","false","false","false","false"
"Verizon Wireless","Verizon Wireless","1670 Post Oak Blvd","Houston","Harris","TX","77056","7139608585","7138779602","","http://www.verizonwireless.com/","29.75043","-95.46133","0.434796440356564","Cell Phones; Cell Phone Batteries; Computer (Recycling); Computer Monitors; Electronics; Laptop Computers; Computer Peripherals; Small Televisions; Tablets; Televisions; Video Game Consoles; PlayStation Consoles","false","true","<A Href="https://www.trade-in.vzw.com/home.aspx">
The Verizon Wireless Trade-In Program</A> allows you to trade in your used handset or tablet in a convenient and responsible way. 
<P>
<P>
Verizon Wireless works every day to protect our environment and give our customers opportunities to do the same. <A Href="http://aboutus.vzw.com/Green_Initiative/overview.html">Click here</A> for more examples of the earth-friendly initiatives and programs Verizon Wireless is proud to offer and support.","","false","false","false","false"
"Sony Style","","5015 Westheimer Rd","Houston","","TX","77056","7134397086","0","","","29.7389671","-95.4631205","0.506979069378215","","false","false","","","false","false","false","false"
"Best Buy Mobile","null","5133 Richmond Ave","Houston","","TX","77056","7135521512","0","","https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c?id=pcmcat149900050025","29.737703","-95.4644579","0.568799481919174","","false","false","","","false","false","false","false"
