name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"USPS Post Office Box Lobby Recycling Program","US Post Office","6822 Providence St","Whitehouse","Lucas","OH","43571","8002758777","0","","https://www.usps.com/","41.51324","-83.80292","0.813561003130637","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"CycleWerks - Whitehouse","CycleWerks - Whitehouse","6760 Providence St","Whitehouse","Lucas ","OH","43571","4198771000","0","","","41.5175698","-83.8030437","0.832450096604635","E-Bike Batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"Goodwill Industries of Northwest Ohio - Dell Reconnect Donation Site","","2021 Reynolds Road","Toledo","","OH","43614","4193896644","0","","https://www.goodwillnwohio.com/","41.6033105","-83.6638498","10.0852399571179","","false","false","","","false","false","false","false"
"Walgreens","Walgreens","1910 S Reynolds Rd","Toledo","Lucas","OH","43614","4198673529","0","","http://www.walgreens.com","41.60465","-83.66452","10.1145042264633","Cell Phones; Inkjet Cartridge Refilling; Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Kroger Store","","5109 Glendale Ave","Toledo","","OH","43614","4192132230","0","","http://www.co.lucas.oh.us","41.6031641","-83.6626033","10.1303064178776","","false","false","","","false","false","false","false"
"Lucas County Recreation Center","","2901 Key St","Maumee","","OH","43537","4192132230","0","","http://www.co.lucas.oh.us","41.5839672","-83.6441532","10.2191334843974","","false","false","","","false","false","false","false"
"Call2Recycle at Lowe's","Call2Recycle at Lowe's","5501 Airport Hwy","Toledo","Lucas","OH","43615","4193899464","0","Monday: 6:00 AM - 10:00 PM Tuesday: 6:00 AM - 10:00 PM Wednesday: 6:00 AM - 10:00 PM Thursday: 6:00 AM - 10:00 PM Friday: 6:00 AM - 10:00 PM Saturday: 6:00 AM - 10:00 PM Sunday: 8:00 AM - 8:00 PM ","http://www.lowes.com/","41.61565","-83.67434","10.2235165719288","Cell Phones; Compact Fluorescent Lights; Ni-Cd Batteries; Plastic Shopping Bags; Li-Ion Batteries; Ni-MH Batteries; Ni-Zn Batteries; Small Sealed Lead Acid Batteries; Video Game Consoles; PlayStation Consoles; Batteries (Rechargeable); Cell Phone Batteries; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries; Cell Phones","false","true","As an environmentally-committed retailer, Lowes offers a recycling center near store entrances to give consumers a free and easy way to properly dispose of rechargeable batteries, cell phones, CFLs and plastic shopping bags; materials that otherwise could be potentially harmful to the environment.  Look for the recycling center or ask a store associate for more details.","Call2Recycle","false","false","false","false"
"Ray's Service Center","Ray's Service Center","228 Louisiana Ave","Perrysburg","Wood","OH","43551","4198748787","0","","","41.55878","-83.62936","10.2542659993639","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"We-Sell-It","","418 Louisiana Ave","Perrysburg","","OH","43551","4198747222","0","","","41.5562276","-83.6276454","10.2881849380662","","false","false","","","false","false","false","false"
"Klum Bros.","","9241 W Bancroft St","Holland","","OH","43528","4198293166","0","","https://klummbros.com/","41.6577501","-83.7645631","10.2896254439916","","false","false","","","false","false","false","false"
"Delta Recycling Center","","Taylor St & Fernwood St","Delta","","OH","43515","4193379250","0","","https://www.fultoncountyoh.com/","41.5775584","-83.9988243","10.2915600374252","","false","false","","","false","false","false","false"
"Way Public Library","","101 East Indiana","Perrysburg","","OH","43551","4198743135","0","","","41.5576386","-83.6276099","10.3176451091258","","false","false","","","false","false","false","false"
"Way Public Library","Way Public Library","101 E Indiana Ave","Perrysburg","Wood","OH","43551","4198743135","0","Monday: 9:00 AM - 8:30 PM Tuesday: 9:00 AM - 8:30 PM Wednesday: 9:00 AM - 8:30 PM Thursday: 9:00 AM - 8:30 PM Friday: 9:00 AM - 5:30 PM Saturday: 9:00 AM - 5:30 PM ","http://www.waylibrary.info/","41.55739","-83.62733","10.3265665918826","Cell Phones; Inkjet Printer Cartridges; Video Game Consoles; PlayStation Consoles","false","true","Location accepts cell phones and printer ink cartridges that are small enough to fit in the palm of the hand.","","false","false","false","false"
"Keep America Beautiful Cars to Donate","","","Perrysburg","","OH","43551","8554262474","0","","https://www.kab.org/?pagename=car_donation","41.556996","-83.627157","10.3273749623075","","false","false","","","false","false","false","false"
"USPS Post Office Box Lobby Recycling Program","US Post Office","6660 US Highway 20A","Delta","Fulton","OH","43515","8002758777","0","","https://www.usps.com/","41.56607","-84.006","10.3291120160437","Catalogs; Greeting Cards; Magazines; Paper (Mixed)","false","true","","","false","false","false","false"
"US Post Office","USPS Discarded Lobby Mail Recycling Program","6660 US Highway 20A","Delta","Fulton","OH","43515","0","0","","","41.56607","-84.006","10.3291120160437","Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Lowe's","","5501 Airport Highway","Toledo","","OH","43615","4193899464","0","","https://newsroom.lowes.com/responsibility/operational-excellence/","41.6155546","-83.6704139","10.368013499521","","false","false","","","false","false","false","false"
"Re-Decor, Inc.","Re-Decor, Inc.","1505 S Reynolds Rd","Toledo","Lucas","OH","43615","4193817280","0","Monday: 11:00 AM - 6:00 PM Tuesday: 11:00 AM - 6:00 PM Wednesday: 11:00 AM - 6:00 PM Thursday: 11:00 AM - 6:00 PM Friday: 11:00 AM - 6:00 PM Saturday: 11:00 AM - 5:00 PM ","","41.61145","-83.66461","10.40682151968","Gift Bags; Furniture; Household Goods; Ornaments; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Sprint","Sprint","5350 Airport Hwy","Toledo","Lucas","OH","43615","4193802000","0","Monday: 10:00 AM - 8:00 PM Tuesday: 10:00 AM - 8:00 PM Wednesday: 10:00 AM - 8:00 PM Thursday: 10:00 AM - 8:00 PM Friday: 10:00 AM - 8:00 PM Saturday: 10:00 AM - 8:00 PM Sunday: 12:00 PM - 6:00 PM ","http://green.sprint.com/","41.61666","-83.66888","10.4780158104747","Cell Phones; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Sprint Store","null","5350 Airport Hwy Ste 110","Toledo","","OH","43615","4193802000","0","","https://newsroom.sprint.com/csr/device-donations/","41.6170618","-83.6688768","10.4968579761337","","false","false","","","false","false","false","false"
"Providence Township Recycling Drop-Off","","13257 Perry Rd","Grand Rapids","","OH","43522","4192132230","0","","http://www.co.lucas.oh.us","41.465635","-83.8593549","3.97589792958439","","false","false","","","false","false","false","false"
"Ohio Compost","","10839 Sager Rd","Swanton","","OH","43558","4198977807","0","","https://www.ohiocompost.com/index.html","41.572978","-83.802581","4.13059880081209","","false","false","","","false","false","false","false"
"Village of Waterville Recycling Drop-Off","","1215 Waterville Monclova Rd","Waterville","","OH","43566","4192132230","0","","http://www.co.lucas.oh.us","41.4973267","-83.737901","4.33733864911687","","false","false","","","false","false","false","false"
"Goodwill Industries of Northwest Ohio - Dell Reconnect Donation Site","","741 Michigan Ave","Waterville","","OH","43566","4198780125","0","","https://www.goodwillnwohio.com/","41.5001267","-83.7256209","4.90918701667308","","false","false","","","false","false","false","false"
