name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Resource Authority of Sumner County Recycle Center","","625 Rappahannock Wire Rd","Gallatin","","TN","37066","6154521114","0","","http://www.recyclesumner.com/","36.3847573","-86.4204245","10.1865588690066","","false","false","","","false","false","false","false"
"Resource Authority","","625 Rappahannock Wire Rd","Gallatin","","TN","37066","6154521114","0","","","36.3847573","-86.4204245","10.1865588690066","","false","false","","","false","false","false","false"
"O'Reilly Auto Parts","","234 Broadway","Hartsville","","TN","37074","6153742157","0","","http://oreillyauto.custhelp.com/app/error/error_id/6","36.3951625","-86.1654396","10.3456793207468","","false","false","","","false","false","false","false"
"H & T Service Amoco","H & T Service Amoco","201 McMurry Blvd E","Hartsville","Trousdale","TN","37074","6153742416","0","","","36.39684","-86.15755","10.5947616980937","Transmission Fluid; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"AutoZone","AutoZone","110 E Broadway","Gallatin","Sumner","TN","37066","6154522200","0","","http://www.autozone.com","36.39205","-86.44668","10.8428893755142","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"AutoZone","","110 E Broadway","Gallatin","","TN","37066","6154522200","0","","https://www.autozone.com/landing/page.jsp?name=in-our-stores","36.3917875","-86.4477745","10.9002601954637","","false","false","","","false","false","false","false"
"D&M Recycling","","","Gallatin","","TN","37066","6154101865","0","","https://www.dandmrecycling.com/","36.3883809","-86.4466599","11.0135456279194","","false","false","","","false","false","false","false"
"Habitat for Humanity of Sumner County ReStore","","241 W Eastland St","Gallatin","","TN","37066","6152303032","0","","https://www.habitatsumnercounty.org/","36.3911957","-86.4499423","11.0173906085245","","false","false","","","false","false","false","false"
"Advance Auto Parts","null","160 W Broadway","Gallatin","","TN","37066","6152309896","0","","http://shop.advanceautoparts.com/webapp/wcs/stores/servlet/home___","36.3902445","-86.4499225","11.0603734957158","","false","false","","","false","false","false","false"
"Advance Auto Parts","Advance Auto Parts","160 W Broadway","Gallatin","Sumner","TN","37066","6152309896","0","Monday: 7:00 AM - 9:00 PM Tuesday: 7:00 AM - 9:00 PM Wednesday: 7:00 AM - 9:00 PM Thursday: 7:00 AM - 9:00 PM Friday: 7:00 AM - 9:00 PM Saturday: 7:00 AM - 9:00 PM Sunday: 10:00 AM - 8:00 PM ","http://www.advanceautoparts.com","36.38949","-86.4503","11.1108540726154","Lead Acid (Pb) Batteries; Used Motor Oil; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
