name,description,address,city,region,province,postal_code,phone,fax,hours,url,latitude,longitude,distance,materials,pickup,dropoff,notes,groups,curbside,municipal,national,event_only
"Saint Paul Public Library","Saint Paul Public Library","1105 Greenbrier St","Saint Paul","Ramsey","MN","55106","6517933930","0","","http://www.sppl.org/","44.97459","-93.0711","0.517383868190179","Cell Phones; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","All 13 St Paul Public Library locations have partnered with Como Park Zoo and Conservatory to recycle unwanted cell phones. Visit <a href="http://www.comozooconservatory.org/about/conservation/recycling/#/recycling" target="_blank">Como Park Zoo Recycling</a> for more information.","","false","false","false","false"
"Reed's Sales & Service","Reed's Sales & Service","1260 Payne Ave Ste A","Saint Paul","Ramsey ","MN","55130-3597","6517749515","0","","","44.9791813024804","-93.073473459359","0.556640495082885","Batteries (Rechargeable); Cell Phone Batteries; Cell Phones; Li-Ion Batteries; Ni-Cd Batteries; Ni-MH Batteries; Small Sealed Lead Acid Batteries","false","true","Call or Check Online for Hours","Call2Recycle","false","false","false","false"
"AutoZone","AutoZone","846 Arcade St","Saint Paul","Ramsey","MN","55106","6517764611","0","","http://www.autozone.com","44.96825","-93.06588","0.849261998150732","Lead Acid (Pb) Batteries; Used Motor Oil; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","Most AutoZone stores accept used motor oil, transmission fluid, gear oil and automotive batteries. Call to see what your local store is currently accepting.","","false","false","false","false"
"Saint Paul Public Library","Saint Paul Public Library","645 7th St E","Saint Paul","Ramsey","MN","55106","6517931699","0","","http://www.sppl.org/","44.95758","-93.0748","1.15004259223696","Cell Phones; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","All 13 St Paul Public Library locations have partnered with Como Park Zoo and Conservatory to recycle unwanted cell phones. Visit <a href="http://www.comozooconservatory.org/about/conservation/recycling/#/recycling" target="_blank">Como Park Zoo Recycling</a> for more information.","","false","false","false","false"
"US Post Office","US Post Office","40 Arlington Ave E","Saint Paul","Ramsey","MN","55117","0","0","","https://www.usps.com/ship/recycle-through-usps.htm","44.98448","-93.09966","1.16379001430685","Inkjet Printer Cartridges; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","Free, postage-paid Mail Back envelopes can be found on display in the lobby. There is no limit to the number of envelopes customers may take. The contents of the envelope must weigh less than 13 ounces and the envelope must be able to seal completely. For more details visit<a href="http://www.maxback.com/mxb-postoffice-collaboration" target="_blank">MaxBack</a>.","","false","false","false","false"
"Saint Paul Public Library","Saint Paul Public Library","1011 Rice St","Saint Paul","Ramsey","MN","55117","6515582223","0","","http://www.sppl.org/","44.9717","-93.10604","1.20228047632675","Cell Phones; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","false","true","All 13 St Paul Public Library locations have partnered with Como Park Zoo and Conservatory to recycle unwanted cell phones. Visit <a href="http://www.comozooconservatory.org/about/conservation/recycling/#/recycling" target="_blank">Como Park Zoo Recycling</a> for more information.","","false","false","false","false"
"Recycle America Alliance - Twin Cities Transfer - NRG","Recycle America Alliance - Twin Cities Transfer - NRG","195 Minnehaha Ave E","Saint Paul","Ramsey","MN","55130","6512281324","0","Monday: 7:00 AM - 5:00 PM Tuesday: 7:00 AM - 5:00 PM Wednesday: 7:00 AM - 5:00 PM Thursday: 7:00 AM - 5:00 PM Friday: 7:00 AM - 5:00 PM Saturday: 8:00 AM - 11:59 PM ","http://www.recycleamericaalliance.com","44.95998","-93.09845","1.24715751480855","Computer Monitors; Computer (Recycling); Electronics; Telephones; Televisions; MP3 Players; DVD Players/Blu-Ray Players/DVRs; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; VCRs; Video Game Consoles; PlayStation Consoles","false","true","","","false","false","false","false"
"Ramsey County HHW Site at Bay West","Ramsey County HHW Site at Bay West","5 Empire Dr","Saint Paul","Ramsey","MN","55103","6516333279","0","Friday: 11:00 AM - 6:00 PM Saturday: 9:00 AM - 4:00 PM ","http://www.co.ramsey.mn.us","44.96202","-93.10207","1.27857155484817","Glue & Adhesives; Aerosol Spray Cans; Antifreeze; Brake Fluid; Lead Acid (Pb) Batteries; Compact Fluorescent Lights; Degreasers; Fertilizer; Fire Extinguishers; Fluorescent Lamps/Tubes; Freon Removal; Fungicides; Gasoline and Unwanted Fuels; Herbicides; Household Cleaners; Insecticides; Needles / Medical Sharps; Mercury Containing Items; Unused Paint; Latex Paint; Paint Thinner; Pesticides; Photography Chemicals; Pool Chemicals; Propane Tanks; Batteries (Rechargeable); Solvents; Holiday Lights; Transmission Fluid; Outdated Medications; Used Motor Oil; Oil Filters; Power Supplies; Button Batteries; Nail Polish","false","true","Bay West is located between Jackson and Rice, just north of Pennsylvania Avenue, near the Capitol.","","false","false","false","false"
"Luminaire Recyclers, Inc.","Luminaire Recyclers, Inc.","206 University Ave E ","St Paul","Ramsey County","MN","55101","6516490079","0","Monday: 7:00 AM - 5:00 PM Tuesday: 7:00 AM - 5:00 PM Wednesday: 7:00 AM - 5:00 PM Thursday: 7:00 AM - 5:00 PM Friday: 7:00 AM - 4:00 PM ","","44.9567537","-93.0952188","1.33662172360458","Compact Fluorescent Lights; Fluorescent Lamps/Tubes; Mercury Containing Items; Computer (Recycling); Computer Monitors; DVD Players/Blu-Ray Players/DVRs; Electronics; Laptop Computers; Computer Peripherals; Printers/Scanners/Fax Machines; Small Electronics; Small Televisions; Tablets; Televisions; VCRs; Video Game Consoles; PlayStation Consoles","true","true","This site provides a pick-up service to business customers.  Please contact the site for additional information.","","false","false","false","false"
"Frank and Sims Yard Waste Collection Site","Ramsey County Yard Waste Collection Site","1150 Sims Ave","Saint Paul","Ramsey","MN","55106","6512662400","0","Saturday: 9:00 AM - 5:00 PM Sunday: 11:00 AM - 5:00 PM ","http://www.co.ramsey.mn.us/","44.9694144","-93.0541308","1.37118505177203","Brush; Christmas Trees; Grass Clippings; Leaves; Organic Waste; Tree Trimmings; Weeds","false","true","This site runs a summer and winter schedule, weather permitting. Summer hours are effective March to November.  Winter hours are Saturday 9am to 5pm and Sunday 11am to 5pm on the following weekends: January 15th-16th, February 9th-10th, and March 8th-9th. 
Proof of Ramsey County residency required.","","false","false","false","false"
